Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Capacitity Moist,Temp,Moist,EC (u/10 gram),Ph,Nitro (mg/10 g),Posh Nitro (mg/10 g),Pota Nitro (mg/10 g)
140_50ml-8,695.54,136.83,333.71,87.8,156.58,144.55,22.8,26.59,114.42,37.29,69.82,7.51,13.75,13.69,29.03,87.27,12.67,6.2,2355,37.9,29.7,2.73,7.12,0.19,0.26,0.66
140_50ml-9,695.54,136.83,332.81,95.4,156.58,159.99,25.08,29.04,125.98,36.91,75.8,8.23,15.37,15.3,29.03,95,12.67,7.08,2357,37.9,29.7,2.73,7.03,0.19,0.26,0.66
142_0ml-1,847.88,189.46,469.74,117.35,238.99,200.69,39.21,47.45,218.45,67.42,139.63,12.16,27.51,27.37,57.2,192.22,21.31,7.97,2650,38.5,0,0,7.11,0,0,0
142_0ml-10,847.11,189.46,468.83,116.51,238.99,199.99,39.21,47.04,218.45,67.42,138.63,12.16,26.7,24.96,56.35,191.11,21.31,7.97,2648,38.5,0,0,7.17,0,0,0
142_0ml-2,848.65,189.46,469.74,117.35,238.99,201.39,39.21,47.45,219.6,67.42,139.63,12.16,28.31,27.37,57.2,193.32,21.31,7.97,2719,38.5,0,0,7.11,0,0,0
142_0ml-3,847.88,189.46,469.74,128.33,238.99,222.44,43.32,52.36,241.56,67.42,147.61,13.24,29.93,28.98,57.2,208.79,21.31,8.85,2647,38.5,0,0,7.11,0,0,0
142_0ml-4,847.88,189.46,468.83,119.89,238.99,207.01,40.13,48.68,225.38,67.42,146.61,12.52,27.51,26.57,56.35,196.64,21.31,7.97,2647,38.5,0,0,7.11,0,0,0
142_0ml-5,847.88,189.46,468.83,116.51,238.99,200.69,39.21,47.45,218.45,67.42,138.63,12.16,26.7,25.76,56.35,192.22,21.31,7.97,2646,38.5,0,0,7.11,0,0,0
142_0ml-6,847.11,189.46,469.74,116.51,238.99,199.99,39.21,47.45,218.45,67.42,138.63,12.16,26.7,25.76,56.35,191.11,21.31,7.97,2651,38.5,0,0,7.13,0,0,0
142_0ml-7,847.11,189.46,469.74,119.89,238.99,204.2,40.13,48.27,223.07,67.42,146.61,12.52,27.51,25.76,56.35,205.48,21.31,7.97,2638,38.5,0,0,7.13,0,0,0
142_0ml-8,847.11,189.46,469.74,116.51,238.99,199.99,39.21,47.45,218.45,67.42,138.63,12.16,26.7,24.96,56.35,191.11,21.31,7.97,2652,38.5,0,0,7.13,0,0,0
142_0ml-9,847.11,189.46,469.74,119.89,238.25,206.3,40.13,48.68,224.22,67.05,145.62,12.16,27.51,26.57,56.35,195.53,21.31,7.97,2654,38.5,0,0,7.17,0,0,0
142_25ml-1,733.24,149.27,367.26,97.09,180.56,164.2,30.55,35.59,153.72,48.97,96.74,9.66,19.42,18.52,38.42,120.41,16.13,7.08,2383,38.5,17.8,2,7.44,0.15,0.21,0.53
142_25ml-10,731.7,149.27,368.17,95.4,180.56,161.39,29.64,34.77,152.57,48.59,90.76,9.3,18.61,18.52,38.42,118.2,16.13,7.08,2395,38.5,16.8,2,7.02,0.15,0.21,0.53
142_25ml-2,733.24,149.27,368.17,95.4,180.56,161.39,29.64,34.77,152.57,48.97,90.76,9.66,18.61,17.71,38.42,118.2,16.13,7.08,2386,38.5,16.6,2,7.44,0.15,0.21,0.53
142_25ml-3,733.24,149.27,367.26,97.09,180.56,164.2,30.09,35.59,154.88,48.59,96.74,9.66,18.61,17.71,38.42,120.41,15.55,7.08,2384,38.5,16.6,2,7.44,0.15,0.21,0.53
142_25ml-4,732.47,149.27,368.17,97.93,180.56,165.6,30.09,35.59,156.03,48.97,97.74,9.66,19.42,18.52,38.42,121.52,16.13,7.08,2386,38.5,16.9,2,7.1,0.15,0.21,0.53
142_25ml-5,732.47,150.22,368.17,97.09,180.56,164.2,30.09,35.18,154.88,48.97,97.74,9.66,19.42,18.52,38.42,120.41,16.13,7.08,2392,38.5,16.9,2,7.1,0.15,0.21,0.53
142_25ml-6,732.47,149.27,367.26,98.78,180.56,164.2,30.09,35.59,154.88,48.59,96.74,10.02,19.42,18.52,38.42,128.15,16.13,7.08,2382,38.5,16.9,2,7.1,0.15,0.21,0.53
142_25ml-7,733.24,150.22,367.26,97.93,180.56,165.6,30.09,35.59,156.03,48.59,97.74,9.66,18.61,18.52,38.42,120.41,16.13,7.08,2382,38.5,16.8,2,7.1,0.15,0.21,0.53
142_25ml-8,732.47,149.27,367.26,97.09,179.81,164.9,30.55,35.59,154.88,48.59,97.74,9.66,18.61,17.71,38.42,120.41,16.13,7.08,2384,38.5,16.8,2,7.02,0.15,0.21,0.53
142_25ml-9,732.47,149.27,367.26,95.4,180.56,161.39,29.64,34.77,152.57,48.97,90.76,9.66,18.61,18.52,38.42,119.31,16.13,7.08,2373,38.5,16.8,2,7.02,0.15,0.21,0.53
142_50ml-1,709.39,146.4,361.82,92.87,167.82,157.89,28.73,31.91,120.2,42.19,91.76,8.23,15.37,15.3,29.88,98.32,12.67,6.2,2287,38.5,38.2,4.09,7.1,0.26,0.35,0.89
142_50ml-10,710.93,146.4,361.82,89.49,167.07,151.57,27.36,30.68,115.58,42.19,84.78,7.87,14.56,14.49,29.88,95,12.67,6.2,2281,38.5,36.8,4.11,6.97,0.26,0.35,0.89
142_50ml-2,707.85,145.44,360.01,90.34,167.07,153.67,27.81,31.09,117.89,42.19,85.77,8.23,14.56,14.49,29.88,96.11,12.67,6.2,2282,38.5,38.2,4.11,7.1,0.26,0.35,0.89
142_50ml-3,707.85,145.44,361.82,92.87,167.07,157.18,28.73,31.91,120.2,42.19,91.76,8.23,14.56,15.3,29.88,98.32,12.67,6.2,2303,38.5,38,4.11,7.1,0.26,0.35,0.89
142_50ml-4,708.62,145.44,360.92,84.43,167.07,142.45,25.53,28.63,108.64,41.81,85.77,7.51,13.75,13.69,29.88,90.59,12.67,5.31,2291,38.5,37.7,4.12,7.1,0.26,0.35,0.89
142_50ml-5,710.93,145.44,360.92,86.11,167.07,143.15,25.99,29.04,109.8,41.81,85.77,7.87,13.75,13.69,29.88,96.11,12.67,6.2,2283,38.5,37.7,4.12,6.99,0.26,0.35,0.89
142_50ml-6,712.47,146.4,363.64,87.8,167.07,149.46,26.45,29.86,114.42,41.81,84.78,7.87,13.75,14.49,29.88,93.9,12.67,6.2,2281,38.5,37.4,4.12,6.99,0.26,0.35,0.89
142_50ml-7,712.47,146.4,363.64,93.71,167.82,159.29,28.27,31.5,121.36,41.81,90.76,8.23,14.56,15.3,29.88,98.32,12.67,6.2,2280,38.5,37,4.1,6.99,0.26,0.35,0.89
142_50ml-8,711.7,146.4,362.73,91.18,167.07,153.67,27.36,30.68,117.89,41.81,84.78,8.23,14.56,14.49,29.88,96.11,12.67,6.2,2280,38.5,37,4.11,6.99,0.26,0.35,0.89
142_50ml-9,711.7,146.4,362.73,91.18,167.07,154.38,27.81,31.09,117.89,42.19,84.78,8.23,14.56,14.49,29.88,97.21,12.67,6.2,2281,38.5,36.8,4.11,6.97,0.26,0.35,0.89
15_0ml-1,787.87,169.36,420.77,107.22,210.52,187.36,33.29,39.68,183.77,55.75,115.69,10.37,22.65,21.74,46.96,159.08,17.86,7.08,2633,36.7,0,0,7.34,0,0,0
15_0ml-10,787.87,170.32,421.67,103,210.52,176.83,31.92,38.04,173.37,55.75,121.68,10.02,21.84,20.93,46.96,152.45,17.86,7.08,2640,36.8,0,0,7.34,0,0,0
15_0ml-2,787.87,169.36,420.77,107.22,210.52,187.36,33.29,39.68,183.77,55.75,115.69,10.37,22.65,21.74,46.96,159.08,17.86,7.08,2640,36.7,0,0,7.34,0,0,0
15_0ml-3,787.87,169.36,420.77,103,210.52,178.94,31.92,37.63,174.53,55.75,122.68,9.66,21.03,20.13,46.96,152.45,17.86,7.08,2647,36.7,0,0,7.34,0,0,0
15_0ml-4,787.87,169.36,420.77,107.22,210.52,187.36,33.29,39.68,183.77,55.75,115.69,10.37,22.65,20.93,46.96,159.08,17.86,6.2,2679,36.7,0,0,7.34,0,0,0
15_0ml-5,787.87,169.36,421.67,110.6,210.52,192.97,34.2,40.5,188.39,55.75,122.68,10.37,22.65,21.74,46.96,163.5,17.86,7.08,2665,36.7,0,0,7.25,0,0,0
15_0ml-6,787.87,169.36,421.67,109.75,210.52,192.27,34.2,40.5,188.39,55.75,122.68,10.37,23.46,21.74,46.96,163.5,17.86,7.08,2653,36.7,0,0,7.25,0,0,0
15_0ml-7,787.87,169.36,421.67,110.6,210.52,190.87,34.2,40.5,187.24,55.75,122.68,10.73,23.46,22.54,46.96,172.33,17.86,7.97,2639,36.8,0,0,7.25,0,0,0
15_0ml-8,787.87,169.36,421.67,117.35,210.52,206.3,36.48,43.36,202.26,55.75,122.68,11.09,25.08,23.35,46.96,173.44,17.86,7.97,2604,36.8,0,0,7.25,0,0,0
15_0ml-9,787.1,169.36,421.67,112.29,210.52,193.67,34.65,40.91,189.55,55.75,122.68,10.73,23.46,22.54,46.96,173.44,17.86,7.97,2677,36.7,0,0,7.34,0,0,0
15_25ml-1,696.31,136.83,345.5,83.58,163.33,148.06,21.43,25.77,105.18,39.55,67.82,7.15,14.56,14.49,29.03,81.75,12.67,6.2,2380,36.8,20.4,2,7.5,0.15,0.21,0.53
15_25ml-10,694.77,136.83,345.5,92.02,164.07,162.8,23.71,28.23,116.74,39.55,71.81,7.87,15.37,16.1,29.03,88.38,12.67,6.2,2379,36.8,20.3,2,7.36,0.15,0.21,0.53
15_25ml-2,695.54,136.83,345.5,89.49,164.07,157.89,23.25,27.41,113.27,39.55,67.82,7.51,15.37,15.3,29.03,87.27,12.67,6.2,2394,36.8,20.4,2,7.02,0.15,0.21,0.53
15_25ml-3,695.54,136.83,345.5,92.87,164.07,163.5,23.71,28.23,116.74,39.55,72.81,7.87,15.37,16.1,29.03,89.48,12.67,6.2,2399,36.8,20.4,2,7.02,0.15,0.21,0.53
15_25ml-4,694.77,136.83,345.5,92.02,164.07,162.1,23.71,28.23,115.58,39.55,72.81,7.87,15.37,16.1,29.03,88.38,12.67,6.2,2309,36.8,20.4,2,7.02,0.15,0.21,0.53
15_25ml-5,694.77,136.83,345.5,86.11,163.33,150.17,21.89,26.18,107.49,39.55,71.81,7.15,14.56,14.49,29.03,83.96,12.67,6.2,2397,36.8,20.3,2,7.02,0.15,0.21,0.53
15_25ml-6,694.77,136.83,345.5,89.49,164.07,157.89,23.25,27.41,113.27,39.55,67.82,7.51,15.37,15.3,29.03,87.27,12.67,6.2,2383,36.8,20.3,2,6.89,0.15,0.21,0.53
15_25ml-7,694.77,136.83,345.5,92.02,164.07,162.8,23.71,28.23,115.58,39.55,72.81,7.87,15.37,15.3,29.03,88.38,12.67,6.2,2386,36.8,20.3,2,6.89,0.15,0.21,0.53
15_25ml-8,694.77,136.83,345.5,89.49,164.07,157.89,23.25,27.41,113.27,39.55,67.82,7.51,15.37,15.3,29.03,86.17,12.67,6.2,2381,36.8,20.3,2,6.89,0.15,0.21,0.53
15_25ml-9,694.77,136.83,345.5,91.18,164.07,161.39,23.71,28.23,115.58,39.55,73.81,7.87,15.37,15.3,29.03,88.38,12.67,6.2,2381,36.8,20.3,2,6.89,0.15,0.21,0.53
15_50ml-1,684,134.92,347.31,92.87,167.82,167.01,21.89,24.54,121.36,35.03,92.76,7.87,16.99,16.91,30.73,112.68,13.25,6.2,2361,36.8,20.3,2,7.36,0.15,0.21,0.53
15_50ml-10,683.23,134.92,346.41,86.96,167.07,153.67,20.52,22.91,110.96,35.03,91.76,7.51,15.37,15.3,30.73,103.84,13.25,6.2,2364,36.9,25.6,2.07,7.97,0.16,0.21,0.54
15_50ml-2,683.23,134.92,346.41,90.34,167.07,162.1,21.43,24.14,117.89,35.03,86.77,7.51,16.18,16.91,30.73,110.47,13.25,6.2,2367,36.9,26,2.06,7.85,0.16,0.21,0.54
15_50ml-3,684,134.92,347.31,92.87,167.07,167.01,21.89,24.54,121.36,35.03,92.76,7.87,16.99,16.91,30.73,112.68,13.25,6.2,2357,36.9,26,2.07,8.02,0.16,0.21,0.54
15_50ml-4,683.23,134.92,347.31,93.71,167.07,166.31,22.34,24.95,120.2,35.03,92.76,7.87,16.99,16.91,30.73,118.2,13.25,6.2,2359,36.9,25.9,2.07,8.02,0.16,0.21,0.54
15_50ml-5,683.23,134.92,347.31,90.34,167.07,161.39,21.43,23.73,116.74,35.03,86.77,7.51,16.18,16.91,30.73,109.37,13.25,6.2,2350,36.9,25.8,2.06,8.02,0.16,0.21,0.54
15_50ml-6,683.23,134.92,346.41,92.87,167.07,167.01,21.89,24.54,121.36,35.03,91.76,7.87,16.99,16.91,30.73,111.58,13.25,6.2,2424,36.9,25.8,2.07,8.02,0.16,0.21,0.54
15_50ml-7,683.23,134.92,346.41,92.87,167.07,167.01,21.89,24.54,121.36,35.03,91.76,7.87,16.99,16.91,30.73,111.58,13.25,6.2,2350,36.9,25.7,2.07,7.97,0.16,0.21,0.54
15_50ml-8,683.23,134.92,346.41,93.71,167.07,168.41,22.34,24.95,121.36,35.03,91.76,7.87,16.99,16.91,30.73,111.58,13.25,6.2,2359,36.9,25.7,2.07,7.97,0.16,0.21,0.54
15_50ml-9,683.23,134.92,347.31,92.87,167.07,168.41,22.34,24.95,121.36,35.03,90.76,7.87,16.99,16.91,30.73,111.58,13.25,6.2,2369,36.9,25.7,2.07,7.97,0.16,0.21,0.54
150_25ml-1,678.61,128.22,323.74,94.56,152.09,166.31,24.62,28.63,116.74,36.54,63.83,7.87,15.37,16.1,26.47,80.64,10.95,6.2,2367,30.2,15.3,2,7.92,0.15,0.21,0.53
150_25ml-10,678.61,128.22,324.64,87.8,151.34,152.97,22.34,25.77,106.33,35.78,63.83,7.15,13.75,14.49,26.47,75.12,10.37,6.2,2364,30.3,14.9,2,7.44,0.15,0.21,0.53
150_25ml-2,678.61,128.22,323.74,85.27,152.09,148.76,22.34,25.36,105.18,36.54,60.84,7.15,13.75,14.49,26.47,74.02,10.95,6.2,2367,30.2,15.3,2,7.92,0.15,0.21,0.53
150_25ml-3,678.61,128.22,323.74,86.11,152.09,149.46,22.34,25.36,105.18,36.54,59.84,7.15,13.75,14.49,26.47,74.02,10.95,6.2,2343,30.2,15.1,2,7.81,0.15,0.21,0.53
150_25ml-4,677.84,128.22,323.74,87.8,152.09,153.67,22.8,26.18,107.49,36.54,63.83,7.15,13.75,14.49,26.47,75.12,10.95,6.2,2365,30.2,15.1,2,7.81,0.15,0.21,0.53
150_25ml-5,677.84,128.22,323.74,85.27,152.09,149.46,21.89,25.36,104.02,36.16,59.84,7.15,13.75,14.49,26.47,72.91,10.95,6.2,2366,30.2,15,2,7.81,0.15,0.21,0.53
150_25ml-6,678.61,128.22,323.74,86.96,152.09,152.27,22.34,25.77,106.33,36.16,63.83,7.15,13.75,14.49,26.47,75.12,10.37,6.2,2368,30.2,15,2,7.81,0.15,0.21,0.53
150_25ml-7,676.3,128.22,322.83,85.27,151.34,148.76,21.89,24.95,104.02,36.16,59.84,7.15,13.75,14.49,26.47,72.91,10.37,6.2,2356,30.3,15,2,7.44,0.15,0.21,0.53
150_25ml-8,677.07,128.22,322.83,92.87,151.34,164.2,24.17,27.41,115.58,36.16,64.83,7.51,14.56,15.3,26.47,79.54,10.37,6.2,2370,30.3,14.9,2,7.44,0.15,0.21,0.53
150_25ml-9,677.84,128.22,323.74,85.27,152.09,148.76,21.89,24.95,104.02,35.78,59.84,7.15,13.75,14.49,26.47,72.91,10.37,6.2,2367,30.3,14.9,2,7.44,0.15,0.21,0.53
150_50ml-1,690.92,132.04,335.53,86.96,156.58,150.87,23.25,27,105.18,37.67,60.84,7.15,13.75,14.49,26.47,72.91,10.95,6.2,2395,30.6,22.9,2,7.68,0.15,0.21,0.53
150_50ml-10,689.38,132.04,332.81,87.8,155.08,152.97,23.25,26.59,106.33,37.67,64.83,7.15,13.75,14.49,26.47,72.91,10.95,6.2,2396,30.7,23.1,2,7.36,0.15,0.21,0.53
150_50ml-2,690.15,132.04,334.62,90.34,156.58,155.78,24.17,27.41,108.64,37.67,65.83,7.51,14.56,14.49,26.47,75.12,10.95,6.2,2395,30.6,23.2,2,7.68,0.15,0.21,0.53
150_50ml-3,689.38,132.04,334.62,83.58,156.58,144.55,22.34,25.36,100.55,37.67,64.83,6.8,12.94,13.69,26.47,69.6,10.95,5.31,2389,30.6,23.2,2,7.68,0.15,0.21,0.53
150_50ml-4,689.38,132.04,334.62,90.34,155.83,156.48,24.17,27.41,108.64,37.67,64.83,7.51,14.56,14.49,26.47,75.12,10.95,6.2,2335,30.6,23.2,2,7.68,0.15,0.21,0.53
150_50ml-5,688.61,132.04,333.71,88.65,155.83,152.97,23.25,27,106.33,37.67,64.83,7.15,13.75,14.49,26.47,74.02,10.95,6.2,2394,30.6,23.1,2,7.45,0.15,0.21,0.53
150_50ml-6,688.61,132.04,333.71,82.74,155.83,141.75,21.89,24.95,98.24,37.67,64.83,6.8,12.94,13.69,26.47,68.49,10.95,5.31,2409,30.6,23.1,2,7.45,0.15,0.21,0.53
150_50ml-7,688.61,132.04,333.71,89.49,155.83,155.08,23.71,27,107.49,37.67,64.83,7.51,13.75,14.49,26.47,74.02,10.95,6.2,2397,30.6,23.1,2,7.45,0.15,0.21,0.53
150_50ml-8,689.38,132.04,333.71,89.49,155.83,153.67,23.25,27,106.33,37.67,64.83,7.51,13.75,14.49,26.47,74.02,10.95,6.2,2397,30.7,23.1,2,7.45,0.15,0.21,0.53
150_50ml-9,689.38,132.04,333.71,89.49,155.83,156.48,23.71,27.41,108.64,37.29,64.83,7.51,14.56,14.49,26.47,74.02,10.95,6.2,2395,30.7,23.1,2,7.36,0.15,0.21,0.53
150_75ml-1,710.16,166.49,486.06,93.71,238.99,205.6,25.08,31.5,165.28,50.47,114.7,10.37,18.61,17.71,42.69,107.16,14.98,7.08,2316,31.2,29.6,2.86,7.31,0.2,0.27,0.68
150_75ml-10,736.32,186.59,535.93,105.53,218.02,192.97,28.27,35.59,191.86,50.85,129.66,9.66,21.03,19.32,43.54,109.37,14.4,7.97,2313,31.2,29.6,2.88,7.08,0.2,0.27,0.68
150_75ml-2,713.24,186.59,657.45,107.22,270.46,251.91,30.09,37.63,198.8,51.23,124.67,12.52,21.84,20.93,43.54,115.99,14.98,8.85,2307,31.2,29.6,2.87,7.31,0.2,0.27,0.68
150_75ml-3,717.85,183.71,634.78,108.07,247.24,245.6,30.09,38.04,204.58,51.23,125.67,12.52,22.65,20.93,43.54,117.1,14.98,8.85,2312,31.2,29.6,2.87,7.13,0.2,0.27,0.68
150_75ml-4,720.16,179.89,590.34,99.62,230.75,204.9,28.27,35.59,194.17,51.23,123.67,10.73,21.03,19.32,44.39,109.37,14.98,7.97,2308,31.2,29.6,2.87,7.13,0.2,0.27,0.68
150_75ml-5,723.24,181.8,539.56,99.62,216.52,192.97,28.27,35.59,197.64,51.23,128.66,10.02,21.03,20.13,45.25,110.47,14.4,7.97,2317,31.2,29.6,2.87,7.13,0.2,0.27,0.68
150_75ml-6,725.55,171.28,509.64,93.71,208.28,173.32,25.99,32.73,177.99,51.6,128.66,8.94,19.42,18.52,43.54,101.63,14.4,7.08,2326,31.2,29.7,2.88,7.13,0.2,0.27,0.68
150_75ml-7,729.39,173.19,525.96,98.78,209.78,184.55,27.36,34.36,186.08,50.85,121.68,9.3,20.22,19.32,43.54,107.16,13.83,7.08,2313,31.2,29.7,2.88,7.08,0.2,0.27,0.68
150_75ml-8,730.93,174.15,535.03,101.31,212.02,191.57,28.27,36,191.86,51.6,128.66,10.02,21.03,19.32,44.39,109.37,14.4,7.97,2315,31.2,29.6,2.87,7.08,0.2,0.27,0.68
150_75ml-9,732.47,177.02,558.61,102.16,215.77,191.57,28.27,35.59,190.71,51.23,129.66,9.66,21.03,19.32,43.54,108.26,14.4,7.97,2321,31.2,29.6,2.88,7.08,0.2,0.27,0.68
150-1_,735.55,146.4,373.61,94.56,180.56,167.71,28.27,33.54,142.16,47.84,86.77,8.59,16.99,16.91,36.71,118.2,12.67,6.2,2590,28,0,0,8.07,0,0,0
150-10_,737.09,147.35,375.43,97.09,181.31,173.32,29.18,34.77,147.94,48.21,93.75,8.94,17.8,17.71,36.71,122.62,12.67,7.08,2629,28.1,0,0,7.92,0,0,0
150-2_,735.55,146.4,374.52,93.71,179.81,166.31,28.27,33.54,142.16,47.84,86.77,8.59,16.99,16.91,36.71,118.2,12.67,6.2,2599,28,0,0,8.02,0,0,0
150-3_,737.86,147.35,376.33,97.93,181.31,171.92,29.64,35.18,147.94,48.59,92.76,9.3,17.8,17.71,36.71,130.36,12.67,7.08,2600,28,0,0,8.02,0,0,0
150-4_,737.86,147.35,376.33,96.25,181.31,171.22,29.18,34.77,146.79,48.59,93.75,8.94,17.8,16.91,36.71,122.62,12.67,7.08,2609,28,0,0,8.02,0,0,0
150-5_,738.63,147.35,376.33,97.09,181.31,173.32,29.64,35.18,149.1,48.59,92.76,8.94,17.8,17.71,36.71,123.73,12.67,7.08,2604,28,0,0,8.02,0,0,0
150-6_,737.09,147.35,376.33,98.78,181.31,173.32,29.64,35.59,149.1,48.21,92.76,9.3,17.8,17.71,36.71,132.57,12.67,7.08,2612,28.1,0,0,7.97,0,0,0
150-7_,737.86,147.35,376.33,94.56,181.31,167.71,28.27,33.95,143.32,48.21,88.77,8.94,16.99,16.91,36.71,120.41,12.67,6.2,2604,28.1,0,0,7.97,0,0,0
150-8_,737.86,147.35,376.33,87.8,181.31,155.08,26.45,31.5,132.92,48.21,88.77,8.23,16.18,15.3,36.71,112.68,12.67,6.2,2597,28.1,0,0,7.97,0,0,0
150-9_,737.09,147.35,376.33,96.25,181.31,171.22,29.18,34.77,146.79,48.21,92.76,8.94,17.8,16.91,36.71,123.73,12.67,7.08,2612,28.1,0,0,7.97,0,0,0
151_0ml-1,867.89,194.24,483.34,130.86,247.24,227.35,47.88,58.09,283.17,73.07,168.56,14.31,29.12,25.76,61.47,238.62,23.04,8.85,2641,37.9,0,0,7.98,0,0,0
151_0ml-10,867.89,195.2,483.34,121.57,247.24,209.11,44.23,54,261.21,73.45,167.56,13.59,27.51,24.15,61.47,224.26,23.62,7.97,2639,37.9,0,0,7.2,0,0,0
151_0ml-2,868.66,194.24,483.34,117.35,247.24,202.09,42.41,51.95,251.96,73.07,159.58,12.88,26.7,22.54,61.47,215.42,23.04,7.97,2641,37.9,0,0,7.56,0,0,0
151_0ml-3,867.89,194.24,483.34,124.11,247.24,211.92,44.69,54.41,263.52,73.07,167.56,13.59,27.51,23.35,60.62,224.26,23.04,7.97,2645,37.9,0,0,7.56,0,0,0
151_0ml-4,867.89,194.24,484.25,121.57,247.24,209.81,44.23,54,261.21,73.45,168.56,13.59,27.51,23.35,61.47,224.26,23.62,7.97,2636,37.9,0,0,7.56,0,0,0
151_0ml-5,867.89,195.2,483.34,113.13,247.24,194.37,41.04,49.91,241.56,73.07,166.56,12.52,25.08,21.74,61.47,207.69,23.04,7.97,2641,37.9,0,0,7.56,0,0,0
151_0ml-6,867.89,194.24,483.34,122.42,247.24,212.62,44.69,54.41,263.52,73.07,167.56,13.59,27.51,23.35,61.47,224.26,23.04,7.97,2598,37.9,0,0,7.25,0,0,0
151_0ml-7,867.89,194.24,483.34,131.71,247.24,228.06,47.88,58.5,283.17,73.07,166.56,14.31,29.12,24.96,60.62,239.72,23.04,8.85,2640,37.9,0,0,7.25,0,0,0
151_0ml-8,867.89,194.24,483.34,119.04,247.24,205.6,43.32,52.77,255.43,73.07,159.58,13.24,26.7,23.35,60.62,218.73,23.04,7.97,2670,37.9,0,0,7.25,0,0,0
151_0ml-9,867.89,194.24,483.34,122.42,246.49,211.92,44.69,54.41,263.52,73.07,166.56,13.59,27.51,23.35,60.62,224.26,23.04,7.97,2637,37.9,0,0,7.25,0,0,0
151_25ml-1,721.7,143.53,346.41,95.4,175.31,159.99,25.99,31.91,149.1,44.45,95.75,8.94,18.61,18.52,38.42,120.41,16.13,7.08,2487,37.9,0,0,7.2,0,0,0
151_25ml-10,720.93,143.53,347.31,93.71,175.31,156.48,25.53,31.09,145.63,44.82,90.76,8.94,18.61,17.71,38.42,118.2,16.13,7.08,2490,37.9,18.6,2.35,7.11,0.17,0.23,0.59
151_25ml-2,720.93,143.53,347.31,93.71,175.31,155.78,25.53,31.09,144.47,44.45,90.76,8.59,17.8,17.71,37.56,117.1,16.13,7.08,2491,37.9,18.9,2.27,7.54,0.17,0.23,0.58
151_25ml-3,721.7,143.53,346.41,96.25,175.31,160.69,26.45,32.32,150.25,44.45,96.74,9.3,18.61,18.52,38.42,120.41,16.13,7.08,2492,37.9,18.9,2.28,7.54,0.17,0.23,0.58
151_25ml-4,720.93,143.53,346.41,89.49,175.31,148.06,24.17,29.86,137.54,44.45,97.74,8.59,17.8,16.91,38.42,112.68,16.13,6.2,2471,37.9,18.8,2.29,7.54,0.17,0.23,0.58
151_25ml-5,720.93,143.53,347.31,93.71,175.31,155.78,25.53,31.09,144.47,44.82,90.76,8.94,18.61,17.71,38.42,118.2,16.13,7.08,2496,37.9,18.7,2.3,7.54,0.17,0.23,0.58
151_25ml-6,720.93,144.48,348.22,93.71,175.31,155.78,25.53,31.09,145.63,44.82,90.76,8.94,18.61,17.71,38.42,118.2,16.13,7.08,2490,37.9,18.7,2.32,7.2,0.17,0.23,0.59
151_25ml-7,720.93,143.53,347.31,93.71,175.31,156.48,25.53,31.09,145.63,44.82,90.76,8.94,18.61,17.71,38.42,118.2,16.13,7.08,2492,37.9,18.7,2.33,7.2,0.17,0.23,0.59
151_25ml-8,720.93,144.48,347.31,96.25,175.31,160.69,26.45,31.91,150.25,44.82,97.74,8.94,18.61,18.52,38.42,121.52,16.13,7.08,2496,37.9,18.7,2.33,7.2,0.17,0.23,0.59
151_25ml-9,720.93,144.48,347.31,93.71,175.31,156.48,25.53,31.09,145.63,44.82,90.76,8.94,18.61,17.71,38.42,117.1,16.13,7.08,2492,37.9,18.6,2.34,7.2,0.17,0.23,0.59
153_0ml-1,843.26,181.8,444.35,112.29,225.51,192.27,33.74,41.32,223.07,59.51,150.6,11.81,25.89,23.35,58.05,233.09,21.89,7.97,2653,38.5,0,0,7.51,0,0,0
153_0ml-10,842.5,182.76,444.35,114.82,225.51,197.88,34.65,42.13,227.69,58.76,157.58,11.45,25.89,22.54,57.2,236.41,21.89,7.97,2651,38.5,0,0,7.41,0,0,0
153_0ml-2,843.26,181.8,444.35,113.98,225.51,195.78,34.2,41.73,226.54,58.76,157.58,11.45,25.89,22.54,57.2,235.3,21.31,7.97,2693,38.5,0,0,7.51,0,0,0
153_0ml-3,844.03,182.76,444.35,118.2,225.51,199.29,35.57,43.36,230,59.51,158.58,12.52,27.51,24.96,58.91,254.08,21.89,7.97,2640,38.5,0,0,7.51,0,0,0
153_0ml-4,843.26,182.76,444.35,115.66,225.51,197.88,35.11,42.54,230,59.14,157.58,12.16,27.51,24.15,58.91,238.62,22.47,7.97,2668,38.5,0,0,7.51,0,0,0
153_0ml-5,842.5,181.8,443.44,114.82,224.76,196.48,34.65,41.73,225.38,58.76,157.58,11.45,25.89,22.54,57.2,234.2,21.89,7.97,2646,38.5,0,0,7.41,0,0,0
153_0ml-6,843.26,181.8,443.44,113.98,224.76,194.37,34.2,41.32,224.22,58.38,156.59,11.45,25.89,22.54,57.2,235.3,21.89,7.97,2658,38.5,0,0,7.41,0,0,0
153_0ml-7,842.5,181.8,443.44,112.29,224.76,191.57,33.29,40.5,220.76,58.38,149.61,11.09,25.08,22.54,57.2,230.88,21.89,7.08,2623,38.5,0,0,7.41,0,0,0
153_0ml-8,842.5,181.8,443.44,114.82,224.76,196.48,34.2,41.73,226.54,58.76,157.58,11.45,25.89,22.54,57.2,235.3,21.89,7.97,2642,38.5,0,0,7.41,0,0,0
